comp_range,fund(s),company,ownership,role_title,seniority,remote_scope,posted_date,ats_link
"$172,000–$196,000",Bessemer,TRM Labs,Private,Lead Supporting Sales Recruiter,"mid, senior",Remote (US),2026-07-08,https://jobs.ashbyhq.com/trm-labs/9bd2edf1-2729-4c5a-ab03-e3a64faf5103?utm_source=jobs.bvp.com
"$172,000–$196,000",Bessemer,TRM Labs,Private,Lead G&A Recruiter,"mid, senior",Remote (US),2026-07-07,https://jobs.ashbyhq.com/trm-labs/584b8af8-7923-4989-83f2-8d4d2e6e21d6?utm_source=jobs.bvp.com
"$172,000–$196,000",Bessemer,TRM Labs,Private,Lead Sales Recruiter,"mid, senior",Remote (US),2026-06-16,https://jobs.ashbyhq.com/trm-labs/6081f4cd-d036-445b-b891-0781754a5968?utm_source=jobs.bvp.com
"$160,000–$195,000",Bessemer,Restaurant365,Private,"Director, People Business Partner",director,"Austin: Austin, TX/Akron, Ohio/Irvine, CA (in-person)",2026-05-12,https://jobs.lever.co/restaurant365/b27e74f3-3e42-4b9c-adf5-0d89cda87c05?lever-source%5B%5D=jobs.bvp.com
"$110,000–$190,000","Battery, a16z",Function Health,Private,Senior Technical Recruiting Manager,manager,Remote (US),2026-07-15,https://jobs.gem.com/function-health/am9icG9zdDpg5i3N_-zKrZBHWts4J6nn?utm_source=portfoliojobs.a16z.com
"$170,000–$190,000",Bessemer,TRM Labs,Private,Technical Recruiting Manager,manager,Remote (US),2026-06-23,https://jobs.ashbyhq.com/trm-labs/6056becb-e8be-4b47-ad5c-bc7e2ee743d9?utm_source=jobs.bvp.com
"$133,200–$185,000",Lightspeed,BetterUp,Private,Senior GTM Recruiter,senior,"Austin: Austin, Texas (hybrid)",2026-07-14,https://jobs.ashbyhq.com/betterup/7ee0d2cf-64bd-4cfa-9d62-09736da8ebd4?utm_source=jobs.lsvp.com
"$125,000–$185,000","Felicis, GV, Sequoia, a16z",Zipline,Private,Senior Software Recruiting Partner,senior,Remote (US),2026-07-06,https://www.zipline.com/open-roles?gh_jid=7795633003
"$133,200–$185,000",Lightspeed,BetterUp,Private,Senior G&A Recruiter,senior,"Austin: Austin, Texas (hybrid)",2026-06-03,https://jobs.ashbyhq.com/betterup/f8860729-fd52-4307-94fc-66d824cfc17b?utm_source=jobs.lsvp.com
"$110,000–$180,000","Felicis, GV, Sequoia, a16z",Zipline,Private,Senior Recruiting Partner,senior,Remote (US),2026-06-22,https://www.zipline.com/careers?gh_jid=7780020003#open-roles
"$150,000–$180,000",Bessemer,TRM Labs,Private,Cyber Threat Intelligence Recruiter,mid,Remote (US),2026-06-09,https://jobs.ashbyhq.com/trm-labs/45166a6e-6337-4132-9429-930cde7fd499?utm_source=jobs.bvp.com
"$130,000–$175,000",Bessemer,TRM Labs,Private,Senior Sales Recruiter – National Security,senior,Remote (US),2026-07-17,https://jobs.ashbyhq.com/trm-labs/6ca99633-14be-4323-a096-e948c9cc2717?utm_source=jobs.bvp.com
"$110,000–$175,000",a16z,OpenRouter,Private,Technical Recruiter,mid,Remote (US),2026-07-08,https://jobs.ashbyhq.com/openrouter/973955a0-c0d1-4bb4-9252-9ab3943a29c0?utm_source=portfoliojobs.a16z.com
"$120,000–$170,000","GV, Sequoia",Ethos Life,Private,Senior Sales Recruiter,senior,Remote (US),2026-06-11,https://job-boards.greenhouse.io/ethoslife/jobs/8584364002
$115K – $165K • Offers Equity,Insight Partners,Sift,Private,Senior Recruiter,—,Remote (US),2026-06-02,https://jobs.ashbyhq.com/sift/232d6839-3f80-46d4-863e-35a633de153b
"$153,000–$161,000",Bessemer,TRM Labs,Private,"Business Recruiter, Marketing",mid,Remote (US),2026-07-07,https://jobs.ashbyhq.com/trm-labs/1533cb1d-bbd1-44a5-b220-2af614fde3ec?utm_source=jobs.bvp.com
"$70,000–$160,000",Bessemer,Port IO,Private,Talent Acquisition Partner,mid,"Austin: Austin, Texas (in-person)",2026-07-12,https://www.comeet.com/jobs/port/59.004/talent-acquisition-partner/52.E61-D8.40D
"$110,000–$160,000",Kleiner Perkins,CesiumAstro,Private,Talent Acquisition Manager,"manager, mid","Austin: Austin, Texas (in-person)",2026-06-10,https://jobs.lever.co/CesiumAstro/14e6dcba-e266-4e13-b3ee-8eca21685a00?lever-source%5B%5D=jobs.kleinerperkins.com
"$125,600–$145,000",Sequoia,Apollo,Private,Business Recruiter,mid,"Austin: Austin, Texas (hybrid)",2026-07-10,https://job-boards.greenhouse.io/apolloio/jobs/6113448004
"$80,000–$140,000",a16z,RigUp,Private,"Sourcer, Oil & Gas",mid,"Austin: Austin, Texas (in-person)",2026-05-20,https://job-boards.greenhouse.io/rigup/jobs/7742008003
"$55,000–$135,000",Sequoia,Linear,Private,Recruiting & HR Operations Specialist,mid,Remote (US),2026-07-02,https://jobs.ashbyhq.com/linear/2ef60eea-7cff-45c2-abf2-eaedc4ea89bd?utm_source=jobs.sequoiacap.com
"$70,000–$135,000","Bessemer, Lightspeed, a16z",Saronic Technologies,Private,Recruiter,mid,"Austin: Austin, Texas (in-person)",2026-06-11,https://jobs.ashbyhq.com/saronic/ad3c297a-af26-4a74-9c61-45bea0809f74?utm_source=portfoliojobs.a16z.com
"$90,000–$130,000",a16z,radEmploy,Private,Founding Recruiter (Medical Imaging),mid,Remote (US),2026-07-18,https://www.linkedin.com/jobs/view/founding-recruiter-medical-imaging-at-rademploy-4441755148
"$110,000–$130,000",Bessemer,Archy,Private,Recruiter,mid,Remote (US),2026-06-23,https://jobs.ashbyhq.com/Archy/0a198d0b-2cf4-4654-afb2-ef949a94635d?utm_source=jobs.bvp.com
"$115,000–$125,000",Kleiner Perkins,Pair Team,Private,Senior Recruiter,senior,Remote (US),2026-07-07,https://job-boards.greenhouse.io/pairteam/jobs/8622819002
"$100,000–$120,000",Bessemer,DEFCON AI,Private,Technical Recruiter (Defense Tech),mid,Remote (US),2026-06-26,https://job-boards.greenhouse.io/defcon/jobs/5174465007
"$87,000–$100,000",Lightspeed,Roofstock,Private,"Recruiter, Operations",mid,"Dallas: Dallas, Texas (in-person)",2026-07-03,https://job-boards.greenhouse.io/roofstock/jobs/8620251002
,Accel,Dropbox,Public (DBX),"Director, People Operations",—,Remote (US),2026-06-30,https://jobs.dropbox.com/listing/7904923?gh_jid=7904923
,Index Ventures,Nourish,Private,Provider Recruiting Associate,—,Remote (US),2026-06-30,https://job-boards.greenhouse.io/usenourish/jobs/5204310008
,Index Ventures,Nourish,Private,Provider Recruiting Manager,—,Remote (US),2026-06-30,https://job-boards.greenhouse.io/usenourish/jobs/5277551008
,Spark Capital,Mercury,Private,Senior Technical Recruiter - Engineering,—,Remote (US),2026-06-29,https://job-boards.greenhouse.io/mercury/jobs/5832775004
,"Craft Ventures, Founders Fund",Affirm,Public (AFRM),"Director, People Business Partner",—,Remote (US),2026-06-18,https://job-boards.greenhouse.io/affirm/jobs/7767432003
,Insight Partners,ROLLER,Private,Talent Acquisition Manager - Sales,—,"Austin: Austin, Texas; Walnut, Creek, California ",2026-06-18,https://job-boards.greenhouse.io/roller/jobs/5081468007
,Khosla Ventures,Curai,Private,Clinical Recruiter,—,Remote (US),2026-06-17,https://jobs.lever.co/curai/92cc9afa-d987-4bf8-a081-eeb78569fb30
,a16z,Pylon,Private,Relocate to SF: Head of People,director,"Austin: Austin, Texas (in-person)",2026-06-03,https://jobs.ashbyhq.com/pylon-labs/0d8b6c8a-8a34-4eec-a4c3-483a6df8dfc2?utm_source=portfoliojobs.a16z.com
,Redpoint,Owner,Private,"Talent Sourcer, Engineering",—,Remote (US),2026-05-12,https://jobs.ashbyhq.com/owner/0366c3d6-4688-4d2d-a670-4d0d2ab9d1f8
,Craft Ventures,ElevenLabs,Private,GTM Recruiter,—,Remote (US),2026-05-11,https://jobs.ashbyhq.com/elevenlabs/fef4499d-6191-43ad-b4f4-e646544f510d
,Redpoint,Owner,Private,"Senior Talent Partner, Engineering Recruiting ",—,Remote (US),2026-05-11,https://jobs.ashbyhq.com/owner/8b7df59d-b04d-4c87-8828-ad5b7ca51b0b
,8VC,Reserv,Private,Recruiting Manager,—,Remote (US),,https://ats.rippling.com/reserv/jobs/83dfcecb-5fc3-4f23-bd9f-818a663e93ca
,Founders Fund,Rippling,Private,Technical Sourcing Manager II,—,"Austin: Austin, TX",,https://ats.rippling.com/rippling/jobs/49866dba-6319-46b1-bf45-fb22a3a7e2f8
