fit_score,funds,company,role_title,seniority,years_req,remote_scope,posted_date,comp_range,stage,ownership,location,domain_note,ats_link
4,Khosla Ventures,Mimica Automation,Head/VP of Product (AI Process Insights & Automation),vice_president,10+ (exec),on_site,2026-06-23,n/a,series_b,private (VC-backed),"Canada; Massachusetts, USA",AI process-mining / agentic automation — his AI-native/agent-runtime frontier.,https://jobs.ashbyhq.com/mimica/02ca67ea-b630-4bdb-8033-144a2e377e38
4,8VC; General Catalyst; Oak HC/FT,Maven Clinic,"VP of Product, Healthcare",vice_president,10+ (exec),remote,2026-06-19,"$290,000–$340,000",series_f,private (VC-backed),United States; North America,Care-navigation & family-health benefits sold to health plans/employers — payer/benefits-adjacent (his health edge) and remote.,https://boards.greenhouse.io/mavenclinic/jobs/8584508002
3,General Catalyst,Veho,"VP Product, Last Mile",vice_president,10+ (exec),unspecified,2026-08-31,"$270,000–$300,000",series_b,private (VC-backed),,Last-mile delivery/logistics for eCommerce — commerce-platform adjacency.,https://jobs.ashbyhq.com/veho-tech-inc/f1aa0aed-e1f4-4ed1-8272-2203b4cced89
3,General Catalyst,Avant-garde Health,Vice President of Product,vice_president,10+ (exec),on_site,2026-08-25,n/a,series_a,private (VC-backed),"Boston, MA, USA; Massachusetts, USA","Value-based-care cost analytics for providers — healthcare economics, transferable.",https://www.linkedin.com/jobs/view/vice-president-of-product-at-avant-garde-health-4455867464
3,Accel; Insight Partners,Alteryx,"VP, Product Management, Analytics Experience",vice_president,10+ (exec),remote,2026-08-22,"$275,000–$325,000",private_equity,"private (PE: Clearlake, 2024)",United States; North America,"Analytics/automation platform — horizontal B2B SaaS, transferable PM leadership; remote.",https://alteryx.wd108.myworkdayjobs.com/AlteryxCareers/job/US---Remote/VP--Product-Management--Analytics-Experience_R12404
3,GV (Google Ventures),Roger,Head of Product - Remote - Healthtech (m/w/d),director,10+ (exec),remote,2026-08-18,n/a,10-100 employees,private (VC-backed),"Berlin, Germany",Digital-health navigation SaaS — healthtech; remote.,https://join.com/jobs/16594072-head-of-product-remote-healthtech-m-w-d
3,Index Ventures,DeepL,Head of Product Growth,director,10+ (exec),on_site,2026-08-14,n/a,series_unknown,private (VC-backed),"London, UK; Greater London, UK","AI/ML translation platform — AI-native, but the role is growth-focused.",https://jobs.ashbyhq.com/DeepL/236d8651-c4c9-4bb8-a9ea-57d535cb76fb
3,Accel,Nuitée,"Head of Product, Connect",director,10+ (exec),on_site,2026-08-10,n/a,series_a,private (VC-backed),Europe; Africa,Travel-booking API with embedded payments — commerce/payments adjacency (Europe/Africa).,https://boards.greenhouse.io/nuitee/jobs/4949641101
3,Founders Fund; Kleiner Perkins,Stord,"VP of Product, Commerce",vice_president,10+ (exec),remote,2026-08-04,n/a,series_e,private (VC-backed),"Georgia, USA; United States",Commerce/fulfillment & logistics SaaS — echoes his eCommerce-platform background; remote.,https://stord.wd503.myworkdayjobs.com/Stord_External_Career/job/Remote---GA/VP-of-Product--Commerce_JR102748
3,Insight Partners,Viz.ai,Chief Product Officer,cxo,10+ (exec),remote,2026-07-17,n/a,series_unknown,private (VC-backed),United States; North America,"Clinical AI care-coordination (some payer/reimbursement angle); CPO title + remote, but not payments.",https://jobs.ashbyhq.com/Viz.ai/5411d705-1eb6-46f8-b3c2-347b94749ca7
3,Founders Fund,Workstream,Chief Operating Officer,cxo,10+ (exec),on_site,2026-07-04,"$200,000–$250,000",series_b,private (VC-backed),"San Francisco, CA, USA; San Francisco County, CA, USA",Hourly-workforce hiring + payroll SaaS (payments-adjacent); COO is an operating-leadership match.,https://boards.greenhouse.io/workstream/jobs/6108802004
3,a16z (Andreessen Horowitz),Roebling,VP of Product,vp,10+ (exec),remote,2026-07-01,"$200,000–$300,000",10-100 employees,private (VC-backed),United States,"AI application company — his AI frontier, vertical unclear.",https://jobs.ashbyhq.com/roebling/0289f4cc-21ca-4e25-81bf-589b97387303?utm_source=portfoliojobs.a16z.com
3,Khosla Ventures,Neurotrack,VP of Product,vice_president,10+ (exec),on_site,2026-06-02,n/a,series_unknown,private (VC-backed),United States; North America,"Digital-health / cognitive-assessment — general healthtech, transferable.",https://recruitingbypaycor.com/career/JobIntroduction.action?clientId=8a7883c66a3387ef016a5b6abfad1c83&id=8a7885ac9e6b0c1d019e713fc3c114ad
3,GV (Google Ventures),Odyssey,"VP, Product",vp,10+ (exec),on_site,2026-05-10,"$200,000–$300,000",10-100 employees,private (VC-backed),"Palo Alto, California","AI product company — his AI frontier, vertical unclear.",https://jobs.ashbyhq.com/odysseyml/eef04f0c-b66e-4c97-ad15-8bfb29c504da?utm_source=jobs.gv.com
3,a16z (Andreessen Horowitz),Leona Health,"Head of Product, AI",director,10+ (exec),hybrid,2026-04-27,"$210,000–$300,000",10-100 employees,private (VC-backed),"Mexico City; San Francisco, California",AI clinical documentation — healthtech (his AI + healthcare adjacency).,https://jobs.ashbyhq.com/leona/b9c61ddd-a951-4f45-9089-17ebdcaa2e38?utm_source=portfoliojobs.a16z.com
3,Lightspeed Venture Partners,Archive Resale,Head of Product,director,10+ (exec),remote,2025-06-24,"$250,000–$300,000",100-1000 employees,private (VC-backed),United States,Resale/recommerce platform — echoes his eCommerce-platform background; remote.,https://jobs.ashbyhq.com/archive/cb7678cf-44db-4aec-9c6e-5891a1e7be12?utm_source=jobs.lsvp.com
3,8VC; Insight Partners; Radical Ventures,Unlearn.AI,VP of Product,vice_president,10+ (exec),on_site,2025-05-23,n/a,series_c,private (VC-backed),"San Francisco, CA, USA; San Francisco County, CA, USA","AI-native clinical-trial platform — his AI frontier, biotech vertical (role posted 2025-05).",https://jobs.ashbyhq.com/Unlearn/5c101044-b926-4038-98b2-28c6bb5611d3
2,Redpoint Ventures,Green Places,VP of Product,vice_president,10+ (exec),remote,2026-08-26,n/a,series_a,private (VC-backed),"Remote; Raleigh, NC, USA","Carbon-accounting/ESG SaaS — horizontal SaaS, light finance flavor; remote.",https://boards.greenhouse.io/greenplaces/jobs/5405727008
2,Felicis,Greenplaces,VP of Product,vp,10+ (exec),remote,2026-08-25,"$200,000–$300,000",,private (VC-backed),"Raleigh, North Carolina",Domain not individually assessed — default vertical-SaaS score.,https://job-boards.greenhouse.io/greenplaces/jobs/5405727008
2,Accel; Lightspeed Venture Partners,Tessian,"Vice President of Product Management, Agentic (Satori)",vice_president,10+ (exec),on_site,2026-08-13,n/a,acquisition,private (acq. by Proofpoint; PE Thoma Bravo),"Sunnyvale, CA, USA; Santa Clara County, CA, USA",AI email/data security — security SaaS with agentic angle.,https://proofpoint.wd5.myworkdayjobs.com/proofpointcareers/job/Sunnyvale-CA/Vice-President-of-Product-Management--Agentic--Satori-_R14569
2,Founders Fund,Flock Safety,VP Product,vice_president,10+ (exec),on_site,2026-08-01,"$280,000–$300,000",series_i,private (VC-backed),"Atlanta, GA, USA; Fulton County, GA, USA","Public-safety AI + hardware — vertical, limited overlap.",https://jobs.ashbyhq.com/Flock%20Safety/3bfc459b-7cc3-443f-a68e-3114f64459d8
2,GV (Google Ventures); a16z (Andreessen Horowitz),Freenome,"Vice President, Product Management",vp,10+ (exec),hybrid,2026-07-24,"$293,550–$383,775",100-1000 employees,private (VC-backed),"Brisbane, California","Cancer-diagnostics / biotech — vertical, limited overlap.",https://job-boards.greenhouse.io/freenome/jobs/8649360002
2,General Catalyst,Medeloop,Chief Commercial Officer,cxo,10+ (exec),remote,2026-07-18,n/a,series_a,private (VC-backed),United States; North America,Clinical-research AI — healthtech (non-payer); CCO is commercial not product.,https://boards.greenhouse.io/medeloop/jobs/4323432009
2,Insight Partners,Pentera,VP Product,vice_president,10+ (exec),on_site,2026-06-28,n/a,series_d,private (VC-backed),Israel; Asia,Automated security-validation — cybersecurity vertical (Israel).,https://www.comeet.com/jobs/pentera/C5.00D/vp-product/65.D6A
2,Thrive Capital,Formation Bio,"Senior Director or Vice President, Product",vice_president,10+ (exec),on_site,2026-04-28,"$270,000–$467,000",series_d,private (VC-backed),"New York, NY, USA; New York, USA","AI-enabled pharma/biotech — vertical, limited overlap.",https://boards.greenhouse.io/formationbio/jobs/7815374
2,Index Ventures; Thrive Capital,Glossier,"Vice President, Product",vice_president,10+ (exec),on_site,2026-04-17,"$235,000–$305,000",series_e,private (VC-backed),"New York, NY, USA; New York, USA",Beauty DTC/eCommerce — consumer goods; some commerce overlap.,https://boards.greenhouse.io/glossier/jobs/7814765?gh_src=gloss
2,NEA,Bluefish AI,VP of Product,vp,10+ (exec),hybrid,2026-03-16,"$200,000–$300,000",,private (VC-backed),New York,AI for marketing/advertising — adtech vertical.,https://job-boards.greenhouse.io/bluefishai/jobs/4943024008
1,8VC,Alloy Therapeutics,Chief Product Officer (CPO) of Antibody-Powered Division (APD),cxo,10+ (exec),on_site,2026-08-22,"$250,000–$330,000",series_e,private (VC-backed),"Waltham, MA, USA; Middlesex County, MA, USA","Antibody/biotech CPO — deep life-science, no overlap with his domain.",https://alloytherapeutics.applytojob.com/apply/gGrIzILmi1/Chief-Product-Officer-CPO-Of-AntibodyPowered-Division-APD
1,Khosla Ventures,Ripple Foods,"Head of Product, Innovation",director,10+ (exec),on_site,2026-08-08,n/a,other,private (VC-backed),"Austin, TX, USA; Travis County, TX, USA",Food & beverage product innovation — no domain overlap.,https://www.linkedin.com/jobs/view/head-of-product-innovation-at-everyday-dose-4449690398
